,00 UTC,01 UTC,02 UTC,03 UTC,04 UTC,05 UTC,06 UTC,07 UTC,08 UTC,09 UTC,10 UTC,11 UTC,12 UTC,13 UTC,14 UTC,15 UTC,16 UTC,17 UTC,18 UTC,19 UTC,20 UTC,21 UTC,22 UTC,23 UTC
00 UTC,1.0,0.5684523700222412,0.5050953078854102,0.3980339998809857,0.46251849480656737,0.3541599651165801,0.15515055543953238,0.06818433599560693,0.5218790301079635,0.3623675900973397,0.12634008044255296,0.6586138834499049,0.711840280229261,0.15251062279495534,0.40828876450147655,0.11664008014532191,0.16272562920632702,-0.01044486450754193,0.5284905518328655,-0.056796181217874504,-0.09248238686309888,-0.06746108197549672,-0.006682207220713906,-0.02096468319537687
01 UTC,0.5684523700222412,1.0,0.9628724890226038,0.7927051550158221,0.9015855064164512,0.7136520090335707,0.13242196549538884,-0.016753191854703576,0.09435197990163044,0.014429335288812616,0.11483769376357061,0.5778730041092821,0.1117497274388577,-0.027823388395905042,0.017910260965248396,-0.051701904892177304,-0.045591342550287794,-0.03135764191420452,-0.04516330670797918,-0.03611505037503753,-0.05880687730662746,-0.04289655257901118,-0.0417773014992516,-0.04241629706144109
02 UTC,0.5050953078854102,0.9628724890226038,1.0,0.828164995527837,0.9392172806834347,0.7467249865736985,0.14883102972861523,-0.006219339599262636,0.11261884487466478,0.026958394194665343,0.13023469411154495,0.6125827585147146,0.1276580410285918,-0.014496209736666009,0.030765476729490572,-0.03879448322714425,-0.034209427632476634,-0.02352918167754909,-0.03388825127853596,-0.027098899333472138,-0.04412569362909241,-0.03218739412018364,-0.03134756496241377,-0.03182703477443086
03 UTC,0.3980339998809857,0.7927051550158221,0.828164995527837,1.0,0.9700554472658272,0.9908229930178485,0.6576382927913664,0.06292971918946652,0.38337818191672246,0.49199845625578587,0.1403664962632747,0.8005261405514829,0.26847596508290433,0.36066711093073933,0.018976585709618403,-0.05535941691032336,-0.045847662073632584,-0.03357595383909606,-0.005839178040339901,-0.0148110243436519,0.019343848022177784,0.15221976792828568,-0.03627581837698411,0.06163725367642903
04 UTC,0.46251849480656737,0.9015855064164512,0.9392172806834347,0.9700554472658272,1.0,0.9296926495628749,0.46759566195952723,0.036143800239834115,0.2840919523976554,0.3135202220798947,0.14268892235688474,0.7554713897054345,0.22007714017533833,0.21526759929471329,0.025085581668703658,-0.05004826104732537,-0.044133140127300734,-0.030354692958094783,-0.01767323662460816,-0.020774755436278245,-0.006505516394422018,0.07985510100676842,-0.035260712521092356,0.02451763029443087
05 UTC,0.3541599651165801,0.7136520090335707,0.7467249865736985,0.9908229930178485,0.9296926495628749,1.0,0.7462161556996069,0.07669516759685012,0.42955808910108156,0.5784718263348999,0.1367135307042442,0.8063899280573832,0.28940495319157133,0.43259818914560516,0.01559231816464665,-0.05533947505110303,-0.04879899432853752,-0.033563858933079754,0.0021181762087917584,-0.011174502495647427,0.034737106170094116,0.18923864571285867,-0.03468047775975493,0.08164471072283888
06 UTC,0.15515055543953238,0.13242196549538884,0.14883102972861523,0.6576382927913664,0.46759566195952723,0.7462161556996069,1.0,0.329815856545301,0.7222382581409422,0.8967684086118416,0.10740267609057927,0.6809006514890884,0.4677958753072877,0.8156492556432486,0.24945032269757864,0.12127816433683687,0.04481889569038749,-0.020844546042918178,0.16525160509962583,-0.0017045816094328676,0.0930187601180192,0.29148145469920506,-0.01959004033230655,0.16074714317301764
07 UTC,0.06818433599560693,-0.016753191854703576,-0.006219339599262636,0.06292971918946652,0.036143800239834115,0.07669516759685012,0.329815856545301,1.0,0.6216384966428143,0.17558990576575387,-0.003081257402891514,0.12420788197646035,0.22441566413500902,0.7978441121877349,0.8748511071005325,0.6635041817594294,0.21340683848851746,0.006198791746192241,0.09879745116837625,-0.030442602448378205,0.05962503986481115,0.009721400311846581,-0.027554757913047446,0.0683510850686337
08 UTC,0.5218790301079635,0.09435197990163044,0.11261884487466478,0.38337818191672246,0.2840919523976554,0.42955808910108156,0.7222382581409422,0.6216384966428143,1.0,0.8199377543644092,0.11747795622468453,0.7148219038063074,0.8596750101779225,0.8677556251529802,0.7903946379421547,0.44511760460197675,0.26720881518234296,0.008106068604105267,0.5741852664992807,-0.02899311391096471,0.04362184211365401,0.13238789170958798,0.00619146765422474,0.12430869721243107
09 UTC,0.3623675900973397,0.014429335288812616,0.026958394194665343,0.49199845625578587,0.3135202220798947,0.5784718263348999,0.8967684086118416,0.17558990576575387,0.8199377543644092,1.0,0.1560114053248655,0.7489560125138369,0.7592457432775321,0.7112843777124478,0.30712582718416886,0.09157163243043663,0.12595180964468308,-0.005758335979760534,0.46673919614867637,-0.005213879102247839,0.059342685214273466,0.25332242224556767,0.009741223613202265,0.14985606668548568
