,00 UTC,01 UTC,02 UTC,03 UTC,04 UTC,05 UTC,06 UTC,07 UTC,08 UTC,09 UTC,10 UTC,11 UTC,12 UTC,13 UTC,14 UTC,15 UTC,16 UTC,17 UTC,18 UTC,19 UTC,20 UTC,21 UTC,22 UTC,23 UTC
00 UTC,1.0,0.7433014235272127,0.44677191264619553,0.21615898736319494,0.29060960377968253,0.29060960377968253,0.30624413835471925,0.30698925791275994,0.3663975782038345,0.41979015363523603,0.32490006007972755,0.3387791050773994,0.37632455535261156,0.3359572123273918,0.3660308828811805,0.12330978809283552,0.16827313973469854,0.21564917843073458,0.1796771827164423,-0.13132732210466974,-0.15507809109719728,-0.13133861373635775,0.31856710393541876,0.10272452068617557
01 UTC,0.7433014235272127,1.0,0.5899458104268394,0.31841596909207986,0.40372142027635205,0.40372142027635205,0.17716668193969964,0.15410913236454615,0.19117834967263703,0.2381887607694631,0.18871168091859028,0.20024144695975102,0.20368922346256316,0.1787060646398708,0.20368922346256316,-0.08985382434613941,-0.07949021365324094,-0.06809401159047006,-0.07950002423194577,-0.09952391296214202,-0.11752298145843174,-0.09953247011042854,-0.08985382434613941,-0.08985382434613941
02 UTC,0.44677191264619553,0.5899458104268394,1.0,0.5899458104268394,0.7147514009901564,0.7147514009901564,0.3936335498514908,0.356144640341825,0.4061562842238141,0.47159542939214666,0.4124134612079632,0.431159527626507,0.42650713866304346,0.385887411171325,0.42650713866304346,-0.050769535527976764,-0.044913850418299685,-0.03847472676696779,-0.044919393627258566,-0.05623336426449869,-0.06640326358867953,-0.056238199255631345,-0.050769535527976764,-0.050769535527976764
03 UTC,0.21615898736319494,0.31841596909207986,0.5899458104268394,1.0,0.8253860147872086,0.8253860147872086,0.46468020827477663,0.6418468902144763,0.48470084253669243,0.5693979843246337,0.4375428561946616,0.47119094892702873,0.49724133962919825,0.47824904032011073,0.7196679322087807,-0.08985382434613941,0.19957117470388153,-0.06809401159047006,0.2186250666378509,0.38774328265156044,0.1077293996702291,0.17694661352965074,0.17970764869227882,0.20366866851791599
04 UTC,0.29060960377968253,0.40372142027635205,0.7147514009901564,0.8253860147872086,1.0,1.0,0.588925401345032,0.5353349001577784,0.6090139624373369,0.7055661988975171,0.5567619561987037,0.5966732075391126,0.6239007915716926,0.6013538817772701,0.588381687101027,-0.07257519329248181,-0.06420447502068405,-0.054999729718807386,0.2892973510545162,0.22120334532611077,0.17217534635097467,0.24744975831053498,0.24706448780419343,0.2754769039016757
05 UTC,0.29060960377968253,0.40372142027635205,0.7147514009901564,0.8253860147872086,1.0,1.0,0.588925401345032,0.5353349001577784,0.6090139624373369,0.7055661988975171,0.5567619561987037,0.5966732075391126,0.6239007915716926,0.6013538817772701,0.588381687101027,-0.07257519329248181,-0.06420447502068405,-0.054999729718807386,0.2892973510545162,0.22120334532611077,0.17217534635097467,0.24744975831053498,0.24706448780419343,0.2754769039016757
06 UTC,0.30624413835471925,0.17716668193969964,0.3936335498514908,0.46468020827477663,0.588925401345032,0.588925401345032,1.0,0.8380330123796423,0.9127714585998323,0.8058457667820729,0.6486114717464428,0.6408735300103374,0.7396057973914281,0.9134224747128896,0.7394194987019088,0.46644484333346536,0.34812866714256213,0.4195062335969249,0.36176886809057274,0.06017881705639615,0.33774876152687394,0.24417505033932896,0.2879887091827226,0.49978894355578574
07 UTC,0.30698925791275994,0.15410913236454615,0.356144640341825,0.6418468902144763,0.5353349001577784,0.5353349001577784,0.8380330123796423,1.0,0.9215266134068103,0.5866689017881758,0.4357320968731406,0.4641045499055274,0.7310360576735424,0.9223648118098137,0.9054116310635617,0.5091029380312942,0.5677175187247936,0.4522103090147446,0.3638290552664871,0.203232462173315,0.34566712744184125,0.2427994162529102,0.2887338287407633,0.5059361799096214
08 UTC,0.3663975782038345,0.19117834967263703,0.4061562842238141,0.48470084253669243,0.6090139624373369,0.6090139624373369,0.9127714585998323,0.9215266134068103,1.0,0.672646211088039,0.5116617058537681,0.5430525660162877,0.8083560440800265,0.9982843930136857,0.8065395136438915,0.5422805247225025,0.40952415306786716,0.48521065146915277,0.4257568025237437,0.07861011337329168,0.3787864863395372,0.2811205221676083,0.34581231079717456,0.5584258324924319
09 UTC,0.41979015363523603,0.2381887607694631,0.47159542939214666,0.5693979843246337,0.7055661988975171,0.7055661988975171,0.8058457667820729,0.5866689017881758,0.672646211088039,1.0,0.8254860996029622,0.8151855493209187,0.6829811335117326,0.6466001123475456,0.6443681478589451,0.14684844289845045,0.19151036525172754,0.23847064095972284,0.4810564025279336,0.12071207038197716,0.07260938796592732,0.14132354986963616,0.3979191089482328,0.3988118046497431
10 UTC,0.32490006007972755,0.18871168091859028,0.4124134612079632,0.4375428561946616,0.5567619561987037,0.5567619561987037,0.6486114717464428,0.4357320968731406,0.5116617058537681,0.8254860996029622,1.0,0.994067067927773,0.6931838697543059,0.4887034781253983,0.49112556932464735,0.2925777203871629,0.3528968526628086,0.4253071861101645,0.5482629435590223,0.03249935529164308,0.17086866240791182,0.24918314703353397,0.4728190094508879,0.463317918244428
11 UTC,0.3387791050773994,0.20024144695975102,0.431159527626507,0.47119094892702873,0.5966732075391126,0.5966732075391126,0.6408735300103374,0.4641045499055274,0.5430525660162877,0.8151855493209187,0.994067067927773,1.0,0.7413462216778345,0.5197248769465492,0.5208427651923565,0.29220512857514486,0.35269084165716774,0.4250718847623857,0.5673213134497437,0.04831914728545876,0.18076747083617767,0.26190885640584693,0.4893993450856905,0.4812023252212937
12 UTC,0.37632455535261156,0.20368922346256316,0.42650713866304346,0.49724133962919825,0.6239007915716926,0.6239007915716926,0.7396057973914281,0.7310360576735424,0.8083560440800265,0.6829811335117326,0.6931838697543059,0.7413462216778345,1.0,0.7966289866774324,0.8006661283811062,0.3409022118479812,0.39416492868683656,0.46805183263737915,0.4257997713690389,0.07861804697712409,0.19056731078795686,0.09688364796996078,0.3458472113685706,0.5448582124829042
13 UTC,0.3359572123273918,0.1787060646398708,0.385887411171325,0.47824904032011073,0.6013538817772701,0.6013538817772701,0.9134224747128896,0.9223648118098137,0.9982843930136857,0.6466001123475456,0.4887034781253983,0.5197248769465492,0.7966289866774324,1.0,0.7972345579329835,0.5468765796341652,0.4035391795389584,0.478503970512179,0.408499911719707,0.08290291683606688,0.4017587894101082,0.29437723806257315,0.33141588623705454,0.5596932110446725
14 UTC,0.3660308828811805,0.20368922346256316,0.42650713866304346,0.7196679322087807,0.588381687101027,0.588381687101027,0.7394194987019088,0.9054116310635617,0.8065395136438915,0.6443681478589451,0.49112556932464735,0.5208427651923565,0.8006661283811062,0.7972345579329835,1.0,0.3660308828811805,0.6354402899045435,0.49622161886092514,0.38952587210431083,0.2375308291370455,0.19700205115222552,0.07359430951564329,0.31365425530595786,0.5432435187618955
15 UTC,0.12330978809283552,-0.08985382434613941,-0.050769535527976764,-0.08985382434613941,-0.07257519329248181,-0.07257519329248181,0.46644484333346536,0.5091029380312942,0.5422805247225025,0.14684844289845045,0.2925777203871629,0.29220512857514486,0.3409022118479812,0.5468765796341652,0.3660308828811805,1.0,0.6829122116554079,0.7912234631784871,0.41348072171703026,-0.13132732210466974,0.4272896339805755,0.2999364086745191,0.35650857719475276,0.5497477295660949
16 UTC,0.16827313973469854,-0.07949021365324094,-0.044913850418299685,0.19957117470388153,-0.06420447502068405,-0.06420447502068405,0.34812866714256213,0.5677175187247936,0.40952415306786716,0.19151036525172754,0.3528968526628086,0.35269084165716774,0.39416492868683656,0.4035391795389584,0.6354402899045435,0.6829122116554079,1.0,0.8755198709466893,0.4810564025279336,0.0832212908435474,0.29372139353051,0.1516241001516796,0.4202365014859912,0.6186381211466636
17 UTC,0.21564917843073458,-0.06809401159047006,-0.03847472676696779,-0.06809401159047006,-0.054999729718807386,-0.054999729718807386,0.4195062335969249,0.4522103090147446,0.48521065146915277,0.23847064095972284,0.4253071861101645,0.4250718847623857,0.46805183263737915,0.478503970512179,0.49622161886092514,0.7912234631784871,0.8755198709466893,1.0,0.5625613416838574,-0.09952391296214202,0.36444626696949844,0.20024144695975102,0.4977009703144317,0.7193404037015756
18 UTC,0.1796771827164423,-0.07950002423194577,-0.044919393627258566,0.2186250666378509,0.2892973510545162,0.2892973510545162,0.36176886809057274,0.3638290552664871,0.4257568025237437,0.4810564025279336,0.5482629435590223,0.5673213134497437,0.4257997713690389,0.408499911719707,0.38952587210431083,0.41348072171703026,0.4810564025279336,0.5625613416838574,1.0,0.35414617553968936,0.2733223298604992,0.5692786595466286,0.902626741497258,0.8903506606905445
19 UTC,-0.13132732210466974,-0.09952391296214202,-0.05623336426449869,0.38774328265156044,0.22120334532611077,0.22120334532611077,0.06017881705639615,0.203232462173315,0.07861011337329168,0.12071207038197716,0.03249935529164308,0.04831914728545876,0.07861804697712409,0.08290291683606688,0.2375308291370455,-0.13132732210466974,0.0832212908435474,-0.09952391296214202,0.35414617553968936,1.0,0.4871317800380838,0.41784885374969677,0.3084794970288413,0.3256172468637769
20 UTC,-0.15507809109719728,-0.11752298145843174,-0.06640326358867953,0.1077293996702291,0.17217534635097467,0.17217534635097467,0.33774876152687394,0.34566712744184125,0.3787864863395372,0.07260938796592732,0.17086866240791182,0.18076747083617767,0.19056731078795686,0.4017587894101082,0.19700205115222552,0.4272896339805755,0.29372139353051,0.36444626696949844,0.2733223298604992,0.4871317800380838,1.0,0.7165975855262291,0.23393695018704866,0.40353299023802613
21 UTC,-0.13133861373635775,-0.09953247011042854,-0.056238199255631345,0.17694661352965074,0.24744975831053498,0.24744975831053498,0.24417505033932896,0.2427994162529102,0.2811205221676083,0.14132354986963616,0.24918314703353397,0.26190885640584693,0.09688364796996078,0.29437723806257315,0.07359430951564329,0.2999364086745191,0.1516241001516796,0.20024144695975102,0.5692786595466286,0.41784885374969677,0.7165975855262291,1.0,0.5198587257181649,0.5288009292065978
22 UTC,0.31856710393541876,-0.08985382434613941,-0.050769535527976764,0.17970764869227882,0.24706448780419343,0.24706448780419343,0.2879887091827226,0.2887338287407633,0.34581231079717456,0.3979191089482328,0.4728190094508879,0.4893993450856905,0.3458472113685706,0.33141588623705454,0.31365425530595786,0.35650857719475276,0.4202365014859912,0.4977009703144317,0.902626741497258,0.3084794970288413,0.23393695018704866,0.5198587257181649,1.0,0.8027245206861756
23 UTC,0.10272452068617557,-0.08985382434613941,-0.050769535527976764,0.20366866851791599,0.2754769039016757,0.2754769039016757,0.49978894355578574,0.5059361799096214,0.5584258324924319,0.3988118046497431,0.463317918244428,0.4812023252212937,0.5448582124829042,0.5596932110446725,0.5432435187618955,0.5497477295660949,0.6186381211466636,0.7193404037015756,0.8903506606905445,0.3256172468637769,0.40353299023802613,0.5288009292065978,0.8027245206861756,1.0
