dia_ref,ts_pico_chuva,chuva_pico,ts_pico_flashes,flashes_pico,defasagem_min
2024-04-15,2024-04-15,0.0,2024-04-15 00:00:00,0.0,0.0
2024-04-16,2024-04-16,0.0,2024-04-15 21:00:00,0.0,-180.0
2024-04-17,2024-04-17,0.0,2024-04-16 21:00:00,0.0,-180.0
2024-04-18,2024-04-18,0.0,2024-04-17 21:00:00,0.0,-180.0
2024-04-19,2024-04-19,0.0,2024-04-18 21:00:00,0.0,-180.0
2024-04-20,2024-04-20,0.0,2024-04-19 21:00:00,0.0,-180.0
2024-04-21,2024-04-21,0.0,2024-04-20 21:00:00,0.0,-180.0
2024-04-22,2024-04-22,0.0,2024-04-21 21:00:00,0.0,-180.0
2024-04-23,2024-04-23,0.0,2024-04-22 21:00:00,0.0,-180.0
2024-04-24,2024-04-24,0.0,2024-04-23 21:00:00,0.0,-180.0
2024-04-25,2024-04-25,0.0,2024-04-24 21:00:00,0.0,-180.0
2024-04-26,2024-04-26,0.0,2024-04-25 21:00:00,0.0,-180.0
2024-04-27,2024-04-27,0.0,2024-04-26 21:00:00,0.0,-180.0
2024-04-28,2024-04-28,0.0,2024-04-27 21:00:00,0.0,-180.0
2024-04-29,2024-04-29,0.0,2024-04-28 21:00:00,0.0,-180.0
2024-04-30,2024-04-30,0.0,2024-04-29 21:00:00,0.0,-180.0
2024-05-01,2024-05-01,0.0,2024-04-30 21:00:00,0.0,-180.0
2024-05-02,2024-05-02,0.0,2024-05-01 21:00:00,0.0,-180.0
2024-05-03,2024-05-03,0.0,2024-05-02 21:00:00,0.0,-180.0
2024-05-04,2024-05-04,0.0,2024-05-03 21:00:00,0.0,-180.0
2024-05-05,2024-05-05,0.0,2024-05-04 21:00:00,0.0,-180.0
2024-05-06,2024-05-06,0.0,2024-05-05 21:00:00,0.0,-180.0
2024-05-07,2024-05-07,0.0,2024-05-06 21:00:00,0.0,-180.0
2024-05-08,2024-05-08,0.0,2024-05-07 21:00:00,0.0,-180.0
2024-05-09,2024-05-09,0.0,2024-05-08 21:00:00,0.0,-180.0
2024-05-10,2024-05-10,0.0,2024-05-09 21:00:00,0.0,-180.0
2024-05-11,2024-05-11,0.0,2024-05-10 21:00:00,0.0,-180.0
2024-05-12,2024-05-12,0.0,2024-05-11 21:00:00,0.0,-180.0
2024-05-13,2024-05-13,0.0,2024-05-12 21:00:00,0.0,-180.0
2024-05-14,2024-05-14,0.0,2024-05-13 21:00:00,0.0,-180.0
2024-05-15,2024-05-15,0.0,2024-05-14 21:00:00,0.0,-180.0
2024-05-16,2024-05-16,0.0,2024-05-15 21:00:00,0.0,-180.0
2024-05-17,2024-05-17,0.0,2024-05-16 21:00:00,0.0,-180.0
2024-05-18,2024-05-18,0.0,2024-05-17 21:00:00,0.0,-180.0
2024-05-19,2024-05-19,0.0,2024-05-18 21:00:00,0.0,-180.0
2024-05-20,2024-05-20,0.0,2024-05-19 21:00:00,0.0,-180.0
2024-05-21,2024-05-21,0.0,2024-05-20 21:00:00,0.0,-180.0
2024-05-22,2024-05-22,0.0,2024-05-21 21:00:00,0.0,-180.0
2024-05-23,2024-05-23,0.0,2024-05-22 21:00:00,0.0,-180.0
2024-05-24,2024-05-24,0.0,2024-05-23 21:00:00,0.0,-180.0
2024-05-25,2024-05-25,0.0,2024-05-24 21:00:00,0.0,-180.0
2024-05-26,2024-05-26,0.0,2024-05-25 21:00:00,0.0,-180.0
2024-05-27,2024-05-27,0.0,2024-05-26 21:00:00,0.0,-180.0
2024-05-28,2024-05-28,0.0,2024-05-27 21:00:00,0.0,-180.0
2024-05-29,2024-05-29,0.0,2024-05-28 21:00:00,0.0,-180.0
2024-05-30,2024-05-30,0.0,2024-05-29 21:00:00,0.0,-180.0
2024-05-31,2024-05-31,0.0,2024-05-30 21:00:00,0.0,-180.0
