DATA,00 UTC,01 UTC,02 UTC,03 UTC,04 UTC,05 UTC,06 UTC,07 UTC,08 UTC,09 UTC,10 UTC,11 UTC,12 UTC,13 UTC,14 UTC,15 UTC,16 UTC,17 UTC,18 UTC,19 UTC,20 UTC,21 UTC,22 UTC,23 UTC,TOTAL/dia
2024-04-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2024-04-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8.0
2024-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2024-04-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2024-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2024-04-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2024-04-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2024-04-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2024-04-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,17.0
2024-04-24,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0
2024-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2024-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2024-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,148,0,1,185,94,436.0
2024-04-28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.0
2024-04-29,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,56,41,170,1,0,42,68,88,16,491.0
2024-04-30,12,0,0,0,0,0,31,14,38,28,10,11,30,13,29,21,14,9,11,0,0,0,16,6,293.0
2024-05-01,0,0,0,22,37,111,173,13,29,44,6,11,10,30,1,0,0,0,1,6,8,25,3,18,548.0
2024-05-02,9,59,29,33,102,127,32,2,8,3,11,13,5,1,3,0,0,0,0,0,0,0,0,0,437.0
2024-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2024-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0
2024-05-05,0,0,0,0,0,0,3,0,0,2,68,1,0,0,0,0,0,0,0,0,0,0,0,0,74.0
2024-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2024-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2024-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,35,10,0,0,48.0
2024-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2024-05-10,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,7.0
2024-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,17.0
2024-05-12,0,0,0,0,0,0,1,3,1,0,0,0,0,2,0,2,0,0,0,0,12,2,0,0,23.0
2024-05-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
