data_hora,chuva_mm,qtd_flashes
2024-01-05 11:00:00,17.0,11.0
2024-01-05 18:00:00,2.0,1.0
2024-01-05 20:00:00,6.0,8.0
2024-01-05 18:00:00,2.0,1.0
2024-01-05 20:00:00,6.0,8.0
2024-02-05 01:00:00,4.0,59.0
2024-02-05 09:00:00,3.0,3.0
2024-02-05 12:00:00,5.0,5.0
2024-02-05 09:00:00,3.0,3.0
2024-02-05 12:00:00,5.0,5.0
2024-04-29 10:00:00,1.0,6.0
2024-04-29 17:00:00,39.0,170.0
2024-04-29 20:00:00,17.0,42.0
2024-04-29 17:00:00,39.0,170.0
2024-04-29 20:00:00,17.0,42.0
2024-04-29 21:00:00,14.0,68.0
2024-04-29 20:00:00,17.0,42.0
2024-04-29 21:00:00,14.0,68.0
2024-04-30 12:00:00,7.0,30.0
2024-04-30 17:00:00,14.0,9.0
2024-04-30 18:00:00,11.0,11.0
2024-04-30 17:00:00,14.0,9.0
2024-04-30 18:00:00,11.0,11.0
2024-05-17 07:00:00,5.0,1.0
2024-05-17 07:00:00,5.0,1.0
2024-05-17 16:00:00,1.0,5.0
2024-05-23 07:00:00,10.0,86.0
2024-05-23 15:00:00,3.0,52.0
2024-05-23 16:00:00,7.0,9.0
2024-05-23 17:00:00,1.0,5.0
2024-05-23 15:00:00,3.0,52.0
2024-05-23 16:00:00,7.0,9.0
2024-05-23 17:00:00,1.0,5.0
2024-05-23 15:00:00,3.0,52.0
2024-05-23 16:00:00,7.0,9.0
2024-05-23 17:00:00,1.0,5.0
2024-10-05 10:00:00,1.0,1.0
2024-12-05 07:00:00,13.0,3.0
2024-12-05 07:00:00,13.0,3.0
2024-12-05 07:00:00,13.0,3.0
2024-12-05 13:00:00,9.0,2.0
2024-12-05 13:00:00,9.0,2.0
2024-12-05 13:00:00,9.0,2.0
