;;A840;;A812;;A897;;A884;;A879;;A811;;A887;;A853;;A828;;A836;;A856;;A839;;B807;;A801;;A802;;A803;;A880;
Data;Hora (UTC);Chuva;Flashes;Chuva;Flashes;Chuva;Flashes;Chuva;Flashes;Chuva;Flashes;Chuva;Flashes;Chuva;Flashes;Chuva;Flashes;Chuva;Flashes;Chuva;Flashes;Chuva;Flashes;Chuva;Flashes;Chuva;Flashes;Chuva;Flashes;Chuva;Flashes;Chuva;Flashes;Chuva;Flashes
01/05/2024;00:00;0;0;1,4;24;8,8;56;0,2;2;0,8;0;0,6;0;0,2;9;0;1;0;0;5;14;0;0;0;0;3,6;13;3,6;12;0,4;0;0;0;0;0
01/05/2024;01:00;0;0;0;0;0;0;0;1;0;0;7,4;31;4,6;24;0;0;0;0;2,4;4;0;0;0;0;4,8;17;7,2;10;2;0;0;0;0;0
01/05/2024;02:00;0;0;0,2;21;0;0;0,2;0;0;0;14,4;25;2,4;1;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;2,6;0;5;274;0;0
01/05/2024;03:00;1,4;22;9;66;0;0;0,2;0;0;0;9,2;6;3;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0,8;46;0;0
01/05/2024;04:00;0,4;37;6,6;60;0;0;0,8;0;0,2;0;1,2;0;0,2;0;0;12;0;0;1,6;0;0;0;0;0;0;0;0;0;0;0;4;220;0;0
01/05/2024;05:00;18,4;111;0,4;0;0;0;1;1;1,2;2;0,2;0;0;0;0,4;28;0;0;0;0;0;0;0;0;2,4;3;2,4;2;0;0;2,4;47;0;0
01/05/2024;06:00;20,4;173;0,2;0;0;0;3,2;2;19,2;43;0;0;0;0;2,2;5;0;0;0;0;0;0;0;0;3,6;1;2,6;0;0;0;9;106;0;0
01/05/2024;07:00;4,6;13;0;0;0;1;2,6;0;10;20;0;0;0;0;0,2;3;0;0;0;0;0;0;0;0;1,4;0;3;0;0;0;5,4;48;0;0
01/05/2024;08:00;9,2;29;0;0;11;24;2,6;0;4,6;1;0;0;0;0;0,2;0;0;0;0;0;0;0;0;0;1,4;0;1,8;0;0;0;1;14;0;1
01/05/2024;09:00;7,4;44;0;2;5,4;1;4,4;0;3,4;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0;0,2;0;0;0;0;0;17,2;110;3,8;71
01/05/2024;10:00;8,2;6;23,8;47;4,2;2;1,8;0;2,2;0;3,2;3;2,6;0;0,2;6;0;0;0;0;0;0;0;0;0;0;0;0;0,4;0;14,8;47;0,2;1
01/05/2024;11:00;17;11;7,4;5;4,6;1;1,2;0;2,6;0;0,8;0;0,2;0;44,6;266;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;2,6;7;7;2
01/05/2024;12:00;15,4;10;1,6;0;2,8;0;0,6;0;5;0;2;0;0;0;3,2;24;0;0;0;0;0;0;0;0;1;0;0,8;0;0;0;12;30;0;0
01/05/2024;13:00;10,8;30;0;0;3,6;0;0,6;0;3,4;1;0,6;0;0;0;1,2;3;0;0;0;0;3,4;35;0;0;3,8;0;5,8;0;0;0;16,8;20;0;1
01/05/2024;14:00;6,2;1;0,2;0;3,2;4;3,8;2;3,4;2;0;0;0;0;2;12;0;0;0;0;1,8;1;10,6;67;4,2;0;7,4;0;0;0;19,8;12;0;0
01/05/2024;15:00;8,8;0;3,2;0;5;4;6,2;0;7,6;3;0;0;0;0;5,2;160;0;0;0;0;0;0;22;120;7,8;1;7,6;2;0;0;2,6;8;6,6;9
