estacao;lag_h;r_pearson
A801;-3;0,15687678989117124
A801;-2;0,0753870524573284
A801;-1;0,17529080831675667
A801;0;0,49213530586284987
A801;1;0,2570150279337241
A801;2;0,20102317364351388
A801;3;0,23713450255479301
A802;-3;-0,011670941832899785
A802;-2;-0,011948985921863619
A802;-1;-0,01126370940752446
A802;0;-0,007399615610506069
A802;1;0,09479825039524792
A802;2;0,15528890605430817
A802;3;0,08052452332456496
A803;-3;0,12518067923923365
A803;-2;0,11124825310802114
A803;-1;0,2621260715613068
A803;0;0,4375495559962247
A803;1;0,2595438505060686
A803;2;0,24415972574597566
A803;3;0,2386169906991204
A811;-3;-0,007672189460269258
A811;-2;-0,004658201779041286
A811;-1;0,05979047099138239
A811;0;0,5947199873940403
A811;1;0,38139167598568247
A811;2;0,0936325058249309
A811;3;0,07902333614950006
A812;-3;0,1000721794033882
A812;-2;0,09183166294808688
A812;-1;0,1984534532109201
A812;0;0,48736816248131676
A812;1;0,4029195555675765
A812;2;0,2384012088795394
A812;3;0,13049723496441568
A828;-3;0,09582534738785743
A828;-2;0,11817025360641656
A828;-1;0,2408574650060467
A828;0;0,5375812651063451
A828;1;0,26549042403812195
A828;2;0,15175147869537603
A828;3;0,1369404235057953
A836;-3;0,15837533241606816
A836;-2;0,053507963412828936
A836;-1;0,17307357145109403
A836;0;0,6203181148351478
A836;1;0,31000487243343267
A836;2;0,14152702976791304
A836;3;0,12332246533700963
A839;-3;0,08150000086782026
A839;-2;0,04877756480901523
A839;-1;0,12877925266437593
A839;0;0,5079837103454918
A839;1;0,29553013307087483
A839;2;0,14828046739835446
A839;3;0,11918369741474658
A840;-3;0,1666464831974128
A840;-2;0,16206498970443986
A840;-1;0,3501713253865796
A840;0;0,678891508288204
A840;1;0,35991486848489
A840;2;0,2624423915920743
A840;3;0,3474223017061371
A853;-3;0,023726048743761184
A853;-2;0,037550511208509676
A853;-1;0,11682333090039232
A853;0;0,6308261039663677
A853;1;0,2731738064898566
A853;2;0,11816070920267777
A853;3;0,06938974158784521
A856;-3;0,1285033351200492
A856;-2;0,20693041041894272
A856;-1;0,23862672735008555
A856;0;0,39050356599910546
A856;1;0,3613755878820061
A856;2;0,2690976066460786
A856;3;0,2143647362016052
A879;-3;0,2785790623432487
A879;-2;0,335073347399154
A879;-1;0,11864538089824525
A879;0;0,33053311069219093
A879;1;0,3407060720779347
A879;2;0,17195061454873237
A879;3;0,12037364580775971
A880;-3;0,012148171763645136
A880;-2;-0,005998107785348267
A880;-1;0,04644055696138981
A880;0;0,6887419810778225
A880;1;0,05020639037692023
A880;2;0,03238337285358909
A880;3;0,10173916061365094
A884;-3;0,00643977176480078
A884;-2;0,019450477226767033
A884;-1;0,15088548016108608
A884;0;0,4979236339100795
A884;1;0,34514682149825365
A884;2;0,21610799744101544
A884;3;0,20650571292662612
A887;-3;0,05174963301678949
A887;-2;0,004107434279596089
A887;-1;0,02614675417785489
A887;0;0,4452569475758675
A887;1;0,19038228765230591
A887;2;0,08300460823399891
A887;3;0,0574727889475355
A897;-3;-0,011681194977351572
A897;-2;0,022474603540907377
A897;-1;0,03977509624045881
A897;0;0,423651977724408
A897;1;0,16620318683921323
A897;2;0,1194763716394644
A897;3;0,09247647680802891
B807;-3;0,12155261230088141
B807;-2;0,11898614247605888
B807;-1;0,19800909968787445
B807;0;0,5081838544559302
B807;1;0,32207451762477607
B807;2;0,3825934105487491
B807;3;0,3395325841630482
