estacao;n_registros;r_pearson;p_pearson;r_spearman;p_spearman
A801;1125;0,49213530586284965;1,1329009398248792e-69;0,5402099310436193;3,1368355269435423e-86
A802;1128;-0,0073996156105060095;0,8039415930434033;0,0475988662359448;0,11009306144882186
A803;1128;0,43754955599622325;5,922800182936753e-54;0,561493395865749;1,0509183646411512e-94
A811;1128;0,5947199873940412;7,560824941779652e-109;0,3660223407303841;4,37010000907964e-37
A812;1128;0,4873681624813174;2,394052051065122e-68;0,5012995068644222;8,123761479756379e-73
A828;1128;0,5375812651063465;1,77610478593935e-85;0,447194406308636;1,4755688451824477e-56
A836;1128;0,6203181148351433;6,3270203326864896e-121;0,49436653807891395;1,4446712454778154e-70
A839;1128;0,5079837103454916;4,907799381003715e-75;0,4246846393261041;1,3091457518320532e-50
A840;1128;0,6788915082882038;2,995884673500145e-153;0,587848057532145;8,685728644663869e-106
A853;1128;0,6308261039663645;3,25190708936233e-126;0,4918659429057449;9,092680750633462e-70
A856;1128;0,3905035659991055;2,12324313191627e-42;0,4371692904025546;7,472525298306421e-54
A879;1128;0,3305331106921906;3,6789280175897026e-30;0,48934830282986297;5,70684000072124e-69
A880;1128;0,6887419810778275;1,9168986541667627e-159;0,36217740444108115;2,7179445919824837e-36
A884;1128;0,49792363391007927;1,0275969176326953e-71;0,5183211535940793;1,4477005550252454e-78
A887;1128;0,44525694757587003;4,997079981131859e-56;0,3987231318240123;2,749858297397168e-44
A897;1128;0,42365197772440755;2,3945754787910483e-50;0,4424813296197023;2,829477364611662e-55
B807;1128;0,5081838544559293;4,2042115912287097e-75;0,5193837263416289;6,178394282976019e-79
