estacao;n;horas_chuva>0;%_chuva>0;horas_flash>0;%_flash>0;horas_cooc;%_cooc
A801;1128;280;24,822695035460992;79;7,00354609929078;78;6,914893617021277
A802;1128;238;21,099290780141843;6;0,5319148936170213;3;0,26595744680851063
A803;1128;248;21,98581560283688;93;8,24468085106383;85;7,535460992907802
A811;1128;310;27,4822695035461;59;5,2304964539007095;50;4,432624113475177
A812;1128;289;25,620567375886523;90;7,9787234042553195;81;7,180851063829787
A828;1128;228;20,21276595744681;58;5,141843971631205;51;4,5212765957446805
A836;1128;237;21,01063829787234;66;5,851063829787234;61;5,407801418439717
A839;1128;214;18,97163120567376;53;4,698581560283688;46;4,078014184397163
A840;1128;298;26,418439716312058;110;9,75177304964539;105;9,308510638297872
A853;1128;185;16,400709219858157;70;6,205673758865248;57;5,053191489361702
A856;1128;223;19,76950354609929;64;5,673758865248227;53;4,698581560283688
A879;1128;346;30,673758865248228;96;8,51063829787234;87;7,712765957446808
A880;1128;267;23,670212765957448;56;4,964539007092198;46;4,078014184397163
A884;1128;306;27,127659574468087;84;7,446808510638298;82;7,2695035460992905
A887;1128;250;22,163120567375888;60;5,319148936170213;52;4,609929078014185
A897;1128;283;25,088652482269502;62;5,49645390070922;58;5,141843971631205
B807;1128;264;23,404255319148938;74;6,560283687943262;71;6,294326241134752
