faixa;A801;A802;A803;A811;A812;A828;A836;A839;A840;A853;A856;A879;A880;A884;A887;A897;B807
0–5;4,25531914893617;0,5454545454545455;4,916512059369202;3,5454545454545454;5,3406998158379375;3,0937215650591448;3,8356164383561646;3,3697632058287796;5,843543826578699;4,193254329990884;3,5878564857405704;5,042016806722689;3,909090909090909;4,810360777058279;4,2611060743427025;3,4007352941176467;4,224058769513315
5,1–10;63,33333333333333;0,0;69,23076923076923;61,904761904761905;67,85714285714286;66,66666666666666;64,70588235294117;40,0;56,41025641025641;63,1578947368421;60,0;62,857142857142854;26,666666666666668;56,666666666666664;38,88888888888889;61,904761904761905;56,52173913043478
10,1–15;100,0;0,0;83,33333333333334;100,0;87,5;100,0;80,0;83,33333333333334;86,66666666666667;100,0;55,55555555555556;90,9090909090909;42,857142857142854;90,0;100,0;66,66666666666666;83,33333333333334
15,1–20;100,0;0,0;100,0;100,0;100,0;100,0;66,66666666666666;66,66666666666666;100,0;100,0;71,42857142857143;80,0;100,0;83,33333333333334;0,0;50,0;100,0
20,1–25;100,0;0,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;;;100,0;100,0;;;66,66666666666666;100,0
25,1–30;100,0;;;;100,0;;100,0;;100,0;100,0;;100,0;;;;;
30,1–35;;;100,0;;;;;;;100,0;;100,0;100,0;;;100,0;
35,1–40;;;;;;;;;100,0;;;;;100,0;;;
40,1–45;;;100,0;;;;;;;100,0;;;100,0;;;;
45,1–50;;;;;;;;;;;;;;;;;
50,1–55;;;;;;;;;;;;;;;;;
55,1–60;;;;;;;;;;;;;;;;;
60,1–65;;;;;;;;;;;;;;;;;
65,1–70;;;;;;;;;;;;;;;;;
70,1–75;;;;;;;;;;;;;;;;;
75,1–80;;;;;;;;;;;;;;;;;
80,1–85;;;;;;;;;;;;;;;;;
85,1–90;;;;;;;;;;;;;;;;;
90,1–95;;;;;;;;;;;;;;;;;
95,1–100;;;;;;;;;;;;;;;;;
>100;;;;;;;;;;;;;;;;;
